Category,Brand ID,Price in USD,User ID,Gender,Color,type
ring,1.0,268.45,1.5159156251930719e+18,f,red,diamond
earring,2.0,109.45,1.5159156251600945e+18,f,red,diamond
bracelet,0.0,1093.01,1.5159156251835935e+18,f,red,fianit
earring,1.0,403.97,1.5159156251930719e+18,f,red,pearl
ring,1.0,1265.71,1.5159156252029012e+18,f,red,diamond
ring,0.0,127.26,1.5159156252629507e+18,f,white,fianit
ring,1.0,116.3,1.5159156252163763e+18,f,red,amethyst
ring,1.0,219.04,1.5159156251963215e+18,f,yellow,quartz_smoky
ring,1.0,252.05,1.5159156251502766e+18,f,red,topaz
pendant,1.0,94.38,1.3251562147067994e+18,f,red,fianit
ring,2.0,123.15,1.3137533189163592e+18,f,red,pearl
earring,1.0,212.19,1.5159156252289236e+18,f,red,mix
ring,0.0,368.36,1.5159156251760402e+18,f,red,fianit
earring,2.0,308.08,1.5159156251984028e+18,f,white,diamond
earring,1.0,308.08,1.5159156252289236e+18,f,white,topaz
ring,1.0,319.14,1.515915625193085e+18,f,red,diamond
ring,1.0,123.15,1.515915625153647e+18,f,red,fianit
ring,1.0,123.15,1.515915625153647e+18,f,red,fianit
earring,1.0,308.08,1.5412352418200947e+18,f,white,topaz
ring,1.0,575.21,1.5159156251933627e+18,f,red,diamond
ring,1.0,123.15,1.5159156250687002e+18,f,red,garnet
earring,1.0,167.78,1.5159156250687002e+18,f,red,garnet
earring,1.0,273.84,1.515915625187876e+18,f,red,chrysoprase
ring,0.0,109.45,1.515915625264063e+18,f,red,diamond
ring,1.0,97.22,1.3243695187005284e+18,f,red,mix
pendant,2.0,123.15,1.3251562147067994e+18,f,red,fianit
pendant,2.0,123.15,1.3251562147067994e+18,f,red,fianit
pendant,2.0,123.15,1.3251562147067994e+18,f,red,fianit
pendant,1.0,1630.14,1.5159156252559593e+18,f,red,mix
earring,1.0,493.01,1.3139873704748e+18,f,red,diamond
ring,0.0,316.3,1.5506129490794255e+18,f,white,fianit
earring,1.0,179.32,1.5159156251601293e+18,f,red,fianit
earring,1.0,87.63,1.5159156251601293e+18,f,red,topaz
earring,0.0,316.3,1.5159156252489992e+18,f,white,fianit
pendant,1.0,45.99,1.5159156252366548e+18,f,red,fianit
ring,0.0,491.64,1.5159156250786368e+18,f,white,fianit
ring,0.0,521.78,1.5159156250786368e+18,f,red,fianit
ring,1.0,636.85,1.5159156250347333e+18,f,red,diamond
ring,1.0,1362.88,1.5159156250347333e+18,f,white,diamond
earring,2.0,219.04,1.5159156251481772e+18,f,red,diamond
ring,2.0,123.15,1.515915625192773e+18,f,white,diamond
pendant,2.0,82.05,1.515915625192773e+18,f,red,ruby
ring,2.0,130.0,1.5159156252294095e+18,f,red,garnet
ring,1.0,1282.85,1.5159156251933627e+18,f,white,diamond
